set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60;
set S := s1 s2 s3 s4;
param N := 4;
set K := 1 2 3 4;

param p : s1 s2 s3 s4 :=
t1 7 7 1 5 
t2 9 8 7 5 
t3 8 6 10 4 
t4 9 3 5 3 
t5 2 10 5 9 
t6 10 3 5 2 
t7 2 6 8 9 
t8 2 6 7 6 
t9 10 4 9 8 
t10 8 9 5 1 
t11 9 1 2 7 
t12 1 10 8 6 
t13 4 6 2 4 
t14 10 4 4 3 
t15 9 8 2 2 
t16 6 9 8 2 
t17 5 9 5 2 
t18 9 6 9 4 
t19 10 9 10 5 
t20 8 2 10 7 
t21 6 10 4 5 
t22 3 4 3 1 
t23 10 5 8 2 
t24 2 3 3 1 
t25 2 9 7 9 
t26 5 9 4 4 
t27 10 7 10 5 
t28 8 8 6 2 
t29 6 10 2 8 
t30 10 6 4 4 
t31 1 5 2 4 
t32 6 3 6 7 
t33 1 2 3 4 
t34 1 10 9 10 
t35 2 1 2 4 
t36 10 10 2 7 
t37 2 6 2 1 
t38 10 1 4 3 
t39 2 8 4 1 
t40 1 9 7 10 
t41 2 5 2 4 
t42 2 5 6 7 
t43 3 1 9 8 
t44 1 10 2 7 
t45 4 5 6 8 
t46 10 3 4 1 
t47 3 3 6 9 
t48 5 2 10 8 
t49 3 1 8 7 
t50 10 9 5 6 
t51 7 5 3 9 
t52 1 8 2 6 
t53 1 9 5 3 
t54 4 8 6 10 
t55 5 6 10 10 
t56 3 5 7 7 
t57 2 1 10 4 
t58 6 3 4 4 
t59 8 7 10 7 
t60 1 7 10 7 
;

param d :=
t1 8
t2 8
t3 3
t4 4
t5 6
t6 3
t7 5
t8 8
t9 4
t10 6
t11 7
t12 6
t13 7
t14 7
t15 3
t16 3
t17 6
t18 5
t19 5
t20 6
t21 3
t22 6
t23 4
t24 7
t25 8
t26 3
t27 8
t28 4
t29 3
t30 6
t31 8
t32 6
t33 5
t34 3
t35 4
t36 3
t37 8
t38 3
t39 8
t40 7
t41 7
t42 3
t43 4
t44 3
t45 7
t46 8
t47 4
t48 5
t49 5
t50 8
t51 4
t52 3
t53 6
t54 6
t55 8
t56 3
t57 3
t58 5
t59 6
t60 3
;

param r :=
s1 24
s2 22
s3 30
s4 28
;

