param BallHandling :=
    1 3
    2 2
    3 2
    4 1
    5 3
    6 3
    7 3;

param Shooting :=
    1 3
    2 1
    3 3
    4 3
    5 3
    6 1
    7 2;

param Rebounding :=
    1 1
    2 3
    3 2
    4 3
    5 3
    6 2
    7 2;

param Defense :=
    1 3
    2 2
    3 2
    4 1
    5 3
    6 3
    7 1;

param G :=
    1 1
    2 0
    3 1
    4 0
    5 1
    6 0
    7 1;

param F :=
    1 0
    2 0
    3 1
    4 1
    5 1
    6 1
    7 1;

param C :=
    1 0
    2 1
    3 0
    4 1
    5 0
    6 1
    7 0;
